song title,artist/band name,year,lyrics url
Come Rain Or Come Shine,"Davis Jr., Sammy",1955,https://www.azlyrics.com/lyrics/sammydavisjr/comerainorcomeshine.html
Thursday's Child,Eartha Kitt,1957,https://www.azlyrics.com/lyrics/earthakitt/thursdayschild.html
Sunday Blues,"London, Julie",1957,https://www.azlyrics.com/lyrics/julielondon/sundayblues.html
Love Is The Thing,Nat King Cole,1957,https://www.azlyrics.com/lyrics/natkingcole/loveisthething.html
Sweet And Lovely,Faron Young,1958,https://www.azlyrics.com/lyrics/faronyoung/sweetandlovely.html
Rescue The Perishing,Eddy Arnold,1958,https://www.azlyrics.com/lyrics/eddyarnold/rescuetheperishing.html
Ill Wind,"Holiday, Billie",1958,https://www.azlyrics.com/lyrics/billieholiday/illwind.html
Between The Devil And The Deep Blue Sea,"Como, Perry",1958,https://www.azlyrics.com/lyrics/perrycomo/betweenthedevilandthedeepbluesea.html
Santa Claus Is Comin' To Town,Perry Como,1959,https://www.azlyrics.com/lyrics/perrycomo/santaclausiscomintotown.html
By The Beautiful Sea,Julie London,1959,https://www.azlyrics.com/lyrics/julielondon/bythebeautifulsea.html
The First Train Headin' South,"Horton, Johnny",1959,https://www.azlyrics.com/lyrics/johnnyhorton/thefirsttrainheadinsouth.html
(Now And Then There's) A Fool Such As I,"Reeves, Jim",1959,https://www.azlyrics.com/lyrics/jimreeves/nowandthentheresafoolsuchasi.html
Not As A Stranger,Frank Sinatra,1959,https://www.azlyrics.com/lyrics/franksinatra/notasastranger.html
What Kind Of Man Are You,Ray Charles,1959,https://www.azlyrics.com/lyrics/raycharles/whatkindofmanareyou.html
No One To Cry To,Eddy Arnold,1959,https://www.azlyrics.com/lyrics/eddyarnold/noonetocryto.html
"Oh Johnny, Oh Johnny, Oh!","Lee, Peggy",1959,https://www.azlyrics.com/lyrics/peggylee/ohjohnnyohjohnnyoh.html
Then You've Never Been Blue,"Fitzgerald, Ella",1960,https://www.azlyrics.com/lyrics/ellafitzgerald/thenyouveneverbeenblue.html
September Song,Tony Bennett,1960,https://www.azlyrics.com/lyrics/tonybennett/septembersong.html
My Kinda Love,Doris Day,1960,https://www.azlyrics.com/lyrics/dorisday/mykindalove.html
Transfusion Blues,"Cash, Johnny",1960,https://www.azlyrics.com/lyrics/johnnycash/transfusionblues.html
Window Up Above,Wanda Jackson,1961,https://www.azlyrics.com/lyrics/wandajackson/windowupabove.html
Oh! Carol,Neil Sedaka,1961,https://www.azlyrics.com/lyrics/neilsedaka/ohcarol.html
Medley: One Kiss / My Romance / The Vagabond King Waltz,"Lee, Peggy",1961,https://www.azlyrics.com/lyrics/peggylee/medleyonekissmyromancethevagabondkingwaltz.html
Backtrack,"Young, Faron",1961,https://www.azlyrics.com/lyrics/faronyoung/backtrack.html
Last Letter,Wanda Jackson,1961,https://www.azlyrics.com/lyrics/wandajackson/lastletter.html
Down On The Corner Of Love,"Owens, Buck",1962,https://www.azlyrics.com/lyrics/buckowens/downonthecorneroflove.html
I Have But One Heart,"Martin, Dean",1962,https://www.azlyrics.com/lyrics/deanmartin/ihavebutoneheart.html
Coquette,Dinah Washington,1962,https://www.azlyrics.com/lyrics/dinahwashington/coquette.html
Crying At Daybreak,Howlin' Wolf,1962,https://www.azlyrics.com/lyrics/howlinwolf/cryingatdaybreak.html
Jealous Lover,Martha And The Vandellas,1963,https://www.azlyrics.com/lyrics/marthaandthevandellas/jealouslover.html
I'm Learning About Love,Brenda Lee,1963,https://www.azlyrics.com/lyrics/brendalee/imlearningaboutlove.html
Ballad Of Paladin,Faron Young,1963,https://www.azlyrics.com/lyrics/faronyoung/balladofpaladin.html
Are You Lonesome Tonight?,Elvis Presley,1963,https://www.azlyrics.com/lyrics/elvispresley/areyoulonesometonight.html
High On A Hilltop,Buck Owens,1963,https://www.azlyrics.com/lyrics/buckowens/highonahilltop.html
Hobo's Lullaby,"Kingston Trio, The",1963,https://www.azlyrics.com/lyrics/kingstontrio/hoboslullaby.html
Love You Till I Die,"Lee, Brenda",1963,https://www.azlyrics.com/lyrics/brendalee/loveyoutillidie.html
Save The Last Dance For Me,Dion,1963,https://www.azlyrics.com/lyrics/dionband/savethelastdanceforme.html
Sandy's Smile,Tony Bennett,1963,https://www.azlyrics.com/lyrics/tonybennett/sandyssmile.html
Little Latin Lupe Lu,"Righteous Brothers, The",1963,https://www.azlyrics.com/lyrics/righteousbrothers/littlelatinlupelu.html
White Christmas,"Vinton, Bobby",1964,https://www.azlyrics.com/lyrics/bobbyvinton/whitechristmas.html
My Way,"Gaye, Marvin",1964,https://www.azlyrics.com/lyrics/marvingaye/myway.html
Midnight Special,"Rivers, Johnny",1964,https://www.azlyrics.com/lyrics/johnnyrivers/midnightspecial.html
"Just You, Just Me","Vaughan, Sarah",1964,https://www.azlyrics.com/lyrics/sarahvaughan/justyoujustme.html
Once Is Enough,Elvis Presley,1964,https://www.azlyrics.com/lyrics/elvispresley/onceisenough.html
When You Wish Upon A Star,Johnny Mathis,1964,https://www.azlyrics.com/lyrics/johnnymathis/whenyouwishuponastar.html
After My Laughter Came Tears,"Charles, Ray",1964,https://www.azlyrics.com/lyrics/raycharles/aftermylaughtercametears.html
Forever And A Day,"Dave Clark Five, The",1964,https://www.azlyrics.com/lyrics/daveclarkfive/foreverandaday.html
When The World Was Beautiful,"Jones, Tom",1965,https://www.azlyrics.com/lyrics/tomjones/whentheworldwasbeautiful.html
Wildwood Flower,Johnny Cash,1965,https://www.azlyrics.com/lyrics/johnnycash/wildwoodflower.html
Boy On A Dolphin,Julie London,1965,https://www.azlyrics.com/lyrics/julielondon/boyonadolphin.html
Night Song,Sammy Davis Jr.,1965,https://www.azlyrics.com/lyrics/sammydavisjr/nightsong.html
We Didn't Know,Tom Paxton,1965,https://www.azlyrics.com/lyrics/tompaxton/wedidntknow.html
Rhythm Of The Rain,"Rivers, Johnny",1965,https://www.azlyrics.com/lyrics/johnnyrivers/rhythmoftherain.html
Santa's Gonna Come In A Stagecoach,Buck Owens,1965,https://www.azlyrics.com/lyrics/buckowens/santasgonnacomeinastagecoach.html
Winter Wonderland,"Ives, Burl",1965,https://www.azlyrics.com/lyrics/burlives/winterwonderland.html
Am I That Easy To Forget,"Price, Ray",1966,https://www.azlyrics.com/lyrics/rayprice/amithateasytoforget.html
Leave My Dog Alone(Bonus Track),Nancy Sinatra,1966,https://www.azlyrics.com/lyrics/nancysinatra/leavemydogalone.html
"Could You, Would You",Them,1966,https://www.azlyrics.com/lyrics/them/couldyouwouldyou.html
You Can't Take Your Love (Away From Me),Harry Nilsson,1966,https://www.azlyrics.com/lyrics/harrynilsson/youcanttakeyourloveawayfromme.html
The Same Two Lips,Ray Price,1966,https://www.azlyrics.com/lyrics/rayprice/thesametwolips.html
My Home Town,B.J. Thomas,1966,https://www.azlyrics.com/lyrics/bjthomas/myhometown.html
Take Me Home,"Cash, Johnny",1966,https://www.azlyrics.com/lyrics/johnnycash/takemehome.html
Heart Of Glass,"Owens, Buck",1966,https://www.azlyrics.com/lyrics/buckowens/heartofglass.html
I Put A Spell On You,Them,1966,https://www.azlyrics.com/lyrics/them/iputaspellonyou.html
I Want My Baby Back,"Wonder, Stevie",1966,https://www.azlyrics.com/lyrics/steviewonder/iwantmybabyback.html
Try Me One More Time,Wanda Jackson,1966,https://www.azlyrics.com/lyrics/wandajackson/trymeonemoretime.html
A Taste Of Honey,Andy Williams,1966,https://www.azlyrics.com/lyrics/andywilliams/atasteofhoney.html
Come On Baby (Shift That Log),Cat Stevens,1967,https://www.azlyrics.com/lyrics/catstevens/comeonbabyshiftthatlog.html
Strangers In The Night,Andy Williams,1967,https://www.azlyrics.com/lyrics/andywilliams/strangersinthenight.html
It Is No Secret,Cliff Richard,1967,https://www.azlyrics.com/lyrics/cliffrichard/itisnosecret.html
"Sunflakes Fall, Snowrays Call",Janis Ian,1967,https://www.azlyrics.com/lyrics/janisian/sunflakesfallsnowrayscall.html
I Say A Little Prayer,"Warwick, Dionne",1967,https://www.azlyrics.com/lyrics/dionnewarwick/isayalittleprayer278898.html
The Lady Came From Baltimore,Joan Baez,1967,https://www.azlyrics.com/lyrics/joanbaez/theladycamefrombaltimore.html
Only You (And You Alone),"Owens, Buck",1967,https://www.azlyrics.com/lyrics/buckowens/onlyyouandyoualone.html
Problem Child,"Cyrkle, The",1967,https://www.azlyrics.com/lyrics/cyrkle/problemchild.html
Love Me Till The Sun Shines,"Kinks, The",1967,https://www.azlyrics.com/lyrics/kinks/lovemetillthesunshines.html
You Keep Me Hangin' On,Tom Jones,1967,https://www.azlyrics.com/lyrics/tomjones/youkeepmehanginon.html
All This Word And The Seven Seas,"Humperdinck, Engelbert",1967,https://www.azlyrics.com/lyrics/engelberthumperdinck/allthiswordandthesevenseas.html
The Love I Saw In You Was Just A Mirage,Smokey Robinson & The Miracles,1967,https://www.azlyrics.com/lyrics/smokeyrobinsonthemiracles/theloveisawinyouwasjustamirage.html
It'll Never Happen Again,Johnny Rivers,1967,https://www.azlyrics.com/lyrics/johnnyrivers/itllneverhappenagain.html
Mr. Richland's Favorite Song,Harry Nilsson,1968,https://www.azlyrics.com/lyrics/harrynilsson/mrrichlandsfavoritesong.html
Above And Beyond (The Call Of Love),"Pride, Charley",1968,https://www.azlyrics.com/lyrics/charleypride/aboveandbeyondthecalloflove.html
Jennifer Juniper,Donovan,1968,https://www.azlyrics.com/lyrics/donovan/jenniferjuniper.html
Windows Have Pains,Marty Robbins,1968,https://www.azlyrics.com/lyrics/martyrobbins/windowshavepains.html
Honky Tonk Downstairs,"Jones, George",1968,https://www.azlyrics.com/lyrics/georgejones/honkytonkdownstairs.html
Get Happy,Tony Bennett,1968,https://www.azlyrics.com/lyrics/tonybennett/gethappy.html
Slutet Gott Allting Gott,"Fältskog, Agnetha",1968,https://www.azlyrics.com/lyrics/agnethafaltskog/slutetgottalltinggott.html
Ain't It Sad To Stand And Watch Love Die,Conway Twitty,1968,https://www.azlyrics.com/lyrics/conwaytwitty/aintitsadtostandandwatchlovedie.html
Too Late,"Mamas And The Papas, The",1968,https://www.azlyrics.com/lyrics/mamasandthepapas/toolate.html
A Thousand Years,"Paxton, Tom",1968,https://www.azlyrics.com/lyrics/tompaxton/athousandyears.html
Games People Play,Wanda Jackson,1969,https://www.azlyrics.com/lyrics/wandajackson/gamespeopleplay.html
Tule's Blues,"Zevon, Warren",1969,https://www.azlyrics.com/lyrics/warrenzevon/tulesblues.html
Is That All There Is?,"Lee, Peggy",1969,https://www.azlyrics.com/lyrics/peggylee/isthatallthereis.html
I Heard The Bells On Christmas Day,"Price, Ray",1969,https://www.azlyrics.com/lyrics/rayprice/iheardthebellsonchristmasday.html
On The Via Dolorosa,Johnny Cash,1969,https://www.azlyrics.com/lyrics/johnnycash/ontheviadolorosa.html
Poem 58,Chicago,1969,https://www.azlyrics.com/lyrics/chicago/poem58.html
Have You Heard (part 2),"Moody Blues, The",1969,https://www.azlyrics.com/lyrics/moodyblues/haveyouheardpart2.html
Stanley's Song,"Byrds, The",1969,https://www.azlyrics.com/lyrics/byrds/stanleyssong.html
Born To Love You,Jackson 5,1969,https://www.azlyrics.com/lyrics/jackson5/borntoloveyou.html
Short Changed,Poco,1969,https://www.azlyrics.com/lyrics/poco/shortchanged.html
O Little Town Of Bethlehem,Tammy Wynette,1970,https://www.azlyrics.com/lyrics/tammywynette/olittletownofbethlehem.html
As Far As I'm Concerned,"Campbell, Glen",1970,https://www.azlyrics.com/lyrics/glencampbell/asfarasimconcerned.html
Joe Hill,Joan Baez,1970,https://www.azlyrics.com/lyrics/joanbaez/joehill.html
White Christmas,Tammy Wynette,1970,https://www.azlyrics.com/lyrics/tammywynette/whitechristmas.html
Television Eye,John Mayall,1971,https://www.azlyrics.com/lyrics/johnmayall/televisioneye.html
Crystal Closet Queen,Leon Russell,1971,https://www.azlyrics.com/lyrics/leonrussell/crystalclosetqueen.html
I Know,"Jones, George",1971,https://www.azlyrics.com/lyrics/georgejones/iknow.html
Let's Go Back To Day One,Eddie Kendricks,1971,https://www.azlyrics.com/lyrics/eddiekendricks/letsgobacktodayone.html
I Forgot More Than You'll Ever Know,"Lewis, Jerry Lee",1971,https://www.azlyrics.com/lyrics/jerryleelewis/iforgotmorethanyoulleverknow.html
Beautiful Brother Of Mine,Curtis Mayfield,1971,https://www.azlyrics.com/lyrics/curtismayfield/beautifulbrotherofmine.html
